,T,i
296,0.1485,-0.00514045
297,0.149,-0.00513405
298,0.1495,-0.00512733
299,0.15,-0.00512245
300,0.1505,-0.00511787
301,0.151,-0.00511299
302,0.1515,-0.00510963
303,0.152,-0.005102
304,0.1525,-0.00509834
305,0.153,-0.00509193
306,0.1535,-0.00508552
307,0.154,-0.0050843
308,0.1545,-0.00507728
309,0.155,-0.00507026
310,0.1555,-0.00506721
311,0.156,-0.00506111
312,0.1565,-0.00505683
313,0.157,-0.00504951
314,0.1575,-0.00504524
315,0.158,-0.00503974
316,0.1585,-0.0050373
317,0.159,-0.00503059
318,0.1595,-0.00502571
319,0.16,-0.00502082
320,0.1605,-0.0050138
321,0.161,-0.0050077
322,0.1615,-0.00500404
323,0.162,-0.00499916
324,0.1625,-0.00499336
325,0.163,-0.00498725
326,0.1635,-0.00498298
327,0.164,-0.00497749
328,0.1645,-0.00497413
329,0.165,-0.00496986
330,0.1655,-0.00496467
331,0.166,-0.00496131
332,0.1665,-0.00495246
333,0.167,-0.00494911
334,0.1675,-0.00494392
335,0.168,-0.00494026
336,0.1685,-0.00493324
337,0.169,-0.00492866
338,0.1695,-0.00492378
339,0.17,-0.00492103
340,0.1705,-0.00491493
341,0.171,-0.00491035
342,0.1715,-0.00490394
343,0.172,-0.00490058
344,0.1725,-0.00489539
345,0.173,-0.0048899
346,0.1735,-0.00488441
347,0.174,-0.00488136
348,0.1745,-0.00487495
349,0.175,-0.00487037
350,0.1755,-0.00486732
351,0.176,-0.00486335
352,0.1765,-0.00485542
353,0.177,-0.00485297
354,0.1775,-0.00484718
355,0.178,-0.00484199
356,0.1785,-0.0048371
357,0.179,-0.00483344
358,0.1795,-0.00482795
359,0.18,-0.00482429
360,0.1805,-0.00481818
361,0.181,-0.00481483
362,0.1815,-0.00480933
363,0.182,-0.00480506
364,0.1825,-0.00479896
365,0.183,-0.00479621
366,0.1835,-0.00479163
367,0.184,-0.00478614
368,0.1845,-0.00478339
369,0.185,-0.00477668
370,0.1855,-0.00477332
371,0.186,-0.00476661
372,0.1865,-0.0047605
373,0.187,-0.00475837
374,0.1875,-0.00475379
375,0.188,-0.00474982
376,0.1885,-0.00474433
377,0.189,-0.00474067
378,0.1895,-0.00473609
379,0.19,-0.00473029
380,0.1905,-0.00472816
381,0.191,-0.00472114
382,0.1915,-0.00471656
383,0.192,-0.00471381
384,0.1925,-0.0047074
385,0.193,-0.00470405
386,0.1935,-0.00470038
387,0.194,-0.00469581
388,0.1945,-0.00469153
389,0.195,-0.00468665
390,0.1955,-0.00468085
391,0.196,-0.00467841
392,0.1965,-0.00467322
393,0.197,-0.00466834
394,0.1975,-0.00466407
395,0.198,-0.00465827
396,0.1985,-0.00465491
397,0.199,-0.00465247
398,0.1995,-0.00464667
399,0.2,-0.00464301
400,0.2005,-0.00463874
401,0.201,-0.00463355
402,0.2015,-0.00462928
403,0.202,-0.00462531
404,0.2025,-0.00461951
405,0.203,-0.00461707
406,0.2035,-0.00461219
407,0.204,-0.00460639
408,0.2045,-0.00460395
409,0.205,-0.0046012
410,0.2055,-0.00459601
411,0.206,-0.00459052
412,0.2065,-0.00458686
413,0.207,-0.00458167
414,0.2075,-0.00457923
415,0.208,-0.00457557
416,0.2085,-0.00457038
417,0.209,-0.0045661
418,0.2095,-0.00456214
419,0.21,-0.00455817
420,0.2105,-0.00455481
421,0.211,-0.00454962
422,0.2115,-0.00454627
423,0.212,-0.00454322
424,0.2125,-0.00453803
425,0.213,-0.00453376
426,0.2135,-0.00452979
427,0.214,-0.00452552
428,0.2145,-0.00452277
429,0.215,-0.00451728
430,0.2155,-0.00451361
431,0.216,-0.00451087
432,0.2165,-0.00450598
433,0.217,-0.00449988
434,0.2175,-0.00449652
435,0.218,-0.00449439
436,0.2185,-0.0044892
437,0.219,-0.00448554
438,0.2195,-0.00448035
439,0.22,-0.00447699
440,0.2205,-0.00447394
441,0.221,-0.00446814
442,0.2215,-0.00446448
443,0.222,-0.00446021
444,0.2225,-0.00445777
445,0.223,-0.0044538
446,0.2235,-0.00444983
447,0.224,-0.00444647
448,0.2245,-0.00444495
449,0.225,-0.00443915
450,0.2255,-0.00443518
451,0.226,-0.00442938
452,0.2265,-0.00442694
453,0.227,-0.00442236
454,0.2275,-0.0044184
455,0.228,-0.00441474
456,0.2285,-0.00441138
457,0.229,-0.00440741
458,0.2295,-0.00440405
459,0.23,-0.004401
460,0.2305,-0.00439734
461,0.231,-0.00439368
462,0.2315,-0.00438941
463,0.232,-0.00438605
464,0.2325,-0.00438117
465,0.233,-0.00437903
466,0.2335,-0.00437415
467,0.234,-0.0043714
468,0.2345,-0.00436804
469,0.235,-0.00436438
470,0.2355,-0.0043598
471,0.236,-0.00435492
472,0.2365,-0.00435278
473,0.237,-0.00434546
474,0.2375,-0.00434363
475,0.238,-0.00434271
476,0.2385,-0.00433661
477,0.239,-0.00433447
478,0.2395,-0.00433051
479,0.24,-0.00432867
480,0.2405,-0.00432532
481,0.241,-0.00431921
482,0.2415,-0.00431616
483,0.242,-0.0043128
484,0.2425,-0.00430914
485,0.243,-0.00430518
486,0.2435,-0.0043009
487,0.244,-0.0043009
488,0.2445,-0.00429602
489,0.245,-0.00429114
490,0.2455,-0.00428625
491,0.246,-0.00428229
492,0.2465,-0.00428137
493,0.247,-0.00427771
494,0.2475,-0.00427252
495,0.248,-0.00427069
496,0.2485,-0.00426794
497,0.249,-0.00426337
498,0.2495,-0.0042594
499,0.25,-0.00425696
500,0.2505,-0.00425421
501,0.251,-0.00424994
502,0.2515,-0.00424719
503,0.252,-0.00424231
504,0.2525,-0.00423987
505,0.253,-0.00423651
506,0.2535,-0.00423254
507,0.254,-0.0042298
508,0.2545,-0.0042243
509,0.255,-0.00422308
510,0.2555,-0.0042182
511,0.256,-0.00421423
512,0.2565,-0.00421179
513,0.257,-0.00420782
514,0.2575,-0.00420569
515,0.258,-0.00420386
516,0.2585,-0.00419836
517,0.259,-0.00419501
518,0.2595,-0.00419256
519,0.26,-0.00418768
520,0.2605,-0.00418707
521,0.261,-0.00418158
522,0.2615,-0.00417792
523,0.262,-0.00417395
524,0.2625,-0.00417334
525,0.263,-0.00416998
526,0.2635,-0.00416601
527,0.264,-0.00416357
528,0.2645,-0.00415869
529,0.265,-0.00415411
530,0.2655,-0.0041535
531,0.266,-0.00415197
532,0.2665,-0.00414526
533,0.267,-0.00414129
534,0.2675,-0.00413885
535,0.268,-0.0041358
536,0.2685,-0.00413366
537,0.269,-0.00413092
538,0.2695,-0.00412664
539,0.27,-0.00412542
540,0.2705,-0.00412024
541,0.271,-0.0041181
542,0.2715,-0.00411505
543,0.272,-0.00411169
544,0.2725,-0.00410803
545,0.273,-0.00410681
546,0.2735,-0.00410406
547,0.274,-0.00409887
548,0.2745,-0.00409704
549,0.275,-0.00409369
550,0.2755,-0.0040885
551,0.276,-0.00408758
552,0.2765,-0.0040827
553,0.277,-0.00408117
554,0.2775,-0.00407934
555,0.278,-0.00407476
556,0.2785,-0.00406897
557,0.279,-0.00406744
558,0.2795,-0.00406713
559,0.28,-0.00406317
560,0.2805,-0.00406012
561,0.281,-0.00405554
562,0.2815,-0.00405218
563,0.282,-0.00404943
564,0.2825,-0.00404608
565,0.283,-0.00404486
566,0.2835,-0.00404211
567,0.284,-0.00403875
568,0.2845,-0.0040354
569,0.285,-0.00403234
570,0.2855,-0.0040296
571,0.286,-0.00402655
572,0.2865,-0.00402258
573,0.287,-0.00401892
574,0.2875,-0.0040177
575,0.288,-0.00401312
576,0.2885,-0.00401312
577,0.289,-0.00400854
578,0.2895,-0.00400549
579,0.29,-0.00400213
580,0.2905,-0.00399969
581,0.291,-0.00399633
582,0.2915,-0.0039945
583,0.292,-0.00399114
584,0.2925,-0.0039884
585,0.293,-0.00398474
586,0.2935,-0.0039826
587,0.294,-0.00397863
588,0.2945,-0.00397772
589,0.295,-0.00397467
590,0.2955,-0.00397161
591,0.296,-0.00396795
592,0.2965,-0.00396673
593,0.297,-0.00396276
594,0.2975,-0.0039591
595,0.298,-0.00395574
596,0.2985,-0.00395513
597,0.299,-0.00395056
598,0.2995,-0.00394842
599,0.3,-0.00394659
