,T,i
286,0.1435,-0.00368566
287,0.144,-0.00368078
288,0.1445,-0.00367742
289,0.145,-0.00367376
290,0.1455,-0.00366857
291,0.146,-0.00366369
292,0.1465,-0.00365789
293,0.147,-0.00365667
294,0.1475,-0.00365056
295,0.148,-0.00364599
296,0.1485,-0.00364385
297,0.149,-0.00364019
298,0.1495,-0.00363469
299,0.15,-0.00363347
300,0.1505,-0.00362615
301,0.151,-0.00362462
302,0.1515,-0.00361974
303,0.152,-0.00361608
304,0.1525,-0.00361303
305,0.153,-0.00360753
306,0.1535,-0.0036054
307,0.154,-0.0035999
308,0.1545,-0.00359624
309,0.155,-0.00359319
310,0.1555,-0.00358709
311,0.156,-0.00358525
312,0.1565,-0.00358098
313,0.157,-0.00357579
314,0.1575,-0.00357488
315,0.158,-0.00356816
316,0.1585,-0.00356633
317,0.159,-0.00356237
318,0.1595,-0.00355657
319,0.16,-0.00355138
320,0.1605,-0.00354924
321,0.161,-0.00354833
322,0.1615,-0.00354192
323,0.162,-0.00353917
324,0.1625,-0.00353459
325,0.163,-0.00353307
326,0.1635,-0.00352819
327,0.164,-0.00352452
328,0.1645,-0.00351995
329,0.165,-0.00351842
330,0.1655,-0.00351476
331,0.166,-0.0035114
332,0.1665,-0.00350621
333,0.167,-0.00350255
334,0.1675,-0.00350164
335,0.168,-0.00349736
336,0.1685,-0.00349065
337,0.169,-0.00348912
338,0.1695,-0.00348516
339,0.17,-0.00348149
340,0.1705,-0.00347722
341,0.171,-0.00347478
342,0.1715,-0.00347142
343,0.172,-0.00346929
344,0.1725,-0.00346318
345,0.173,-0.00346227
346,0.1735,-0.00345769
347,0.174,-0.00345494
348,0.1745,-0.00345128
349,0.175,-0.00344762
350,0.1755,-0.00344213
351,0.176,-0.00343999
352,0.1765,-0.00343816
353,0.177,-0.00343327
354,0.1775,-0.00343083
355,0.178,-0.00342961
356,0.1785,-0.0034232
357,0.179,-0.00341954
358,0.1795,-0.00341649
359,0.18,-0.00341344
360,0.1805,-0.00340978
361,0.181,-0.00340825
362,0.1815,-0.00340184
363,0.182,-0.00340123
364,0.1825,-0.00339696
365,0.183,-0.0033933
366,0.1835,-0.00338811
367,0.184,-0.00338536
368,0.1845,-0.00338323
369,0.185,-0.00337926
370,0.1855,-0.00337712
371,0.186,-0.00337468
372,0.1865,-0.0033698
373,0.187,-0.00336827
374,0.1875,-0.0033643
375,0.188,-0.00336125
376,0.1885,-0.00335881
377,0.189,-0.00335637
378,0.1895,-0.00335271
379,0.19,-0.00334874
380,0.1905,-0.00334508
381,0.191,-0.00334294
382,0.1915,-0.00333806
383,0.192,-0.00333806
384,0.1925,-0.00333318
385,0.193,-0.00333196
386,0.1935,-0.00332555
387,0.194,-0.0033231
388,0.1945,-0.00331944
389,0.195,-0.00331822
390,0.1955,-0.00331486
391,0.196,-0.00331212
392,0.1965,-0.00330876
393,0.197,-0.00330449
394,0.1975,-0.00330327
395,0.198,-0.00330083
396,0.1985,-0.00329655
397,0.199,-0.00329472
398,0.1995,-0.00329106
399,0.2,-0.00328831
400,0.2005,-0.00328679
401,0.201,-0.00328252
402,0.2015,-0.00327855
403,0.202,-0.00327794
404,0.2025,-0.00327214
405,0.203,-0.00327153
406,0.2035,-0.00326787
407,0.204,-0.00326512
408,0.2045,-0.00326268
409,0.205,-0.00325902
410,0.2055,-0.00325474
411,0.206,-0.00325322
412,0.2065,-0.00324956
413,0.207,-0.00325017
414,0.2075,-0.00324315
415,0.208,-0.0032404
416,0.2085,-0.00323979
417,0.209,-0.00323552
418,0.2095,-0.00323155
419,0.21,-0.00323094
420,0.2105,-0.00322819
421,0.211,-0.00322545
422,0.2115,-0.00322178
423,0.212,-0.00321812
424,0.2125,-0.00321599
425,0.213,-0.00321324
426,0.2135,-0.00321202
427,0.214,-0.00320866
428,0.2145,-0.00320683
429,0.215,-0.00320531
430,0.2155,-0.00319981
431,0.216,-0.00319737
432,0.2165,-0.00319371
433,0.217,-0.00319218
434,0.2175,-0.00319005
435,0.218,-0.00318486
436,0.2185,-0.00318272
437,0.219,-0.00317998
438,0.2195,-0.00317936
439,0.22,-0.00317631
440,0.2205,-0.00317418
441,0.221,-0.0031699
442,0.2215,-0.00316716
443,0.222,-0.00316411
444,0.2225,-0.00316472
445,0.223,-0.00316075
446,0.2235,-0.003158
447,0.224,-0.00315403
448,0.2245,-0.0031519
449,0.225,-0.00315007
450,0.2255,-0.00314671
451,0.226,-0.00314366
452,0.2265,-0.00314183
453,0.227,-0.00313878
454,0.2275,-0.00313542
455,0.228,-0.0031345
456,0.2285,-0.00313298
457,0.229,-0.00312901
458,0.2295,-0.00312565
459,0.23,-0.00312382
460,0.2305,-0.00312169
461,0.231,-0.00311863
462,0.2315,-0.0031168
463,0.232,-0.00311528
464,0.2325,-0.00311039
465,0.233,-0.00310978
466,0.2335,-0.00310612
467,0.234,-0.00310276
468,0.2345,-0.00310185
469,0.235,-0.0030988
470,0.2355,-0.00309544
471,0.236,-0.00309514
472,0.2365,-0.00309269
473,0.237,-0.00309208
474,0.2375,-0.00308598
475,0.238,-0.00308598
476,0.2385,-0.00308262
477,0.239,-0.00308049
478,0.2395,-0.00307743
